City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
345,uturoa,100.0,PF,1701886264.0,85.0,-16.7333,-151.4333,25.65,8.78
346,sihanoukville,40.0,KH,1701886264.0,94.0,10.6093,103.5296,25.97,1.03
347,menaka,2.0,ML,1701886264.0,12.0,15.9182,2.4022,28.36,3.29
348,susanville,0.0,US,1701886264.0,75.0,40.4163,-120.653,9.34,1.54
349,santa cruz del norte,87.0,CU,1701886161.0,62.0,23.1539,-81.9236,23.93,8.07
350,enewetak,75.0,MH,1701886270.0,70.0,11.3474,162.3373,27.61,9.53
351,ebon,100.0,MH,1701886270.0,81.0,4.582,168.6964,28.2,9.25
352,hihifo,,,,,,,,
353,rongelap,77.0,MH,1701886270.0,77.0,11.1635,166.8941,27.53,9.6
354,fort-shevchenko,100.0,KZ,1701886270.0,53.0,44.5086,50.263,3.41,10.41
355,otra banda,43.0,DO,1701886270.0,70.0,18.6502,-68.6628,29.36,3.9
356,pizarro,99.0,CO,1701886271.0,91.0,4.9533,-77.366,26.19,4.88
357,atafu village,60.0,TK,1701886250.0,76.0,-8.5421,-172.5159,28.93,3.91
358,behshahr,100.0,IR,1701886271.0,72.0,36.6923,53.5526,10.97,1.89
359,bubaque,2.0,GW,1701886271.0,55.0,11.2833,-15.8333,28.46,4.91
360,decorah,75.0,US,1701886271.0,65.0,43.3033,-91.7857,4.51,4.12
361,la passe,55.0,FR,1701886271.0,85.0,45.5549,-0.8967,6.66,4.01
362,shendi,88.0,SD,1701886271.0,22.0,16.6915,33.4341,27.81,4.58
363,espargos,,,,,,,,
364,pontianak,20.0,ID,1701886272.0,94.0,-0.0333,109.3333,25.99,1.03
365,karratha,10.0,AU,1701886272.0,61.0,-20.7377,116.8463,29.24,3.23
366,okhotsk,99.0,RU,1701886272.0,73.0,59.3833,143.3,-22.98,5.61
367,rock hill,20.0,US,1701885976.0,40.0,34.9249,-81.0251,12.79,7.2
368,nizamabad,100.0,IN,1701886272.0,91.0,18.6667,78.1167,20.11,1.93
369,magadan,98.0,RU,1701886272.0,66.0,59.5667,150.8,-17.39,6.39
370,wainwright,98.0,CA,1701886273.0,59.0,52.839,-110.8572,3.9,0.83
371,cole harbour,75.0,CA,1701886273.0,63.0,44.6724,-63.4751,0.95,3.58
372,baie-comeau,40.0,CA,1701886273.0,63.0,49.2168,-68.1489,-5.18,2.57
373,tual,55.0,ID,1701886047.0,69.0,-5.6667,132.75,28.66,1.37
374,tranovaho,,,,,,,,
375,panevezys,47.0,LT,1701886273.0,95.0,55.7333,24.35,-9.15,3.12
376,nadym,16.0,RU,1701886273.0,99.0,65.5333,72.5167,-39.28,3.12
377,oktyabr'sk,30.0,RU,1701886274.0,100.0,53.1672,48.7006,-21.2,1.52
378,fort st. john,2.0,CA,1701886245.0,71.0,56.2499,-120.8529,0.38,4.42
379,walvis bay,58.0,NA,1701886274.0,82.0,-22.9575,14.5053,16.72,4.42
380,lorengau,91.0,PG,1701886274.0,82.0,-2.0226,147.2712,27.8,5.02
381,manacapuru,12.0,BR,1701886274.0,44.0,-3.2997,-60.6206,33.84,1.4
382,bireun,100.0,ID,1701886274.0,87.0,5.203,96.7009,25.49,2.03
383,mushie,94.0,CD,1701886274.0,84.0,-3.0167,16.9,24.79,1.23
384,tanout,5.0,NE,1701886275.0,13.0,14.9709,8.8879,23.88,4.94
385,boende,74.0,CD,1701886275.0,93.0,-0.2167,20.8667,23.03,0.8
386,dobrinka,100.0,RU,1701886275.0,93.0,52.1653,40.4731,-10.1,2.74
387,filipstad,99.0,SE,1701886275.0,95.0,59.7124,14.1683,-8.11,0.88
388,santyoku,19.0,KR,1701886275.0,61.0,37.4406,129.1708,5.45,10.47
389,san matias,92.0,BO,1701886275.0,35.0,-16.3667,-58.4,36.01,2.67
390,maya,100.0,PH,1701886276.0,82.0,11.2743,124.0579,26.4,4.6
391,bairnsdale,90.0,AU,1701886276.0,94.0,-37.8333,147.6167,12.25,1.19
392,sao joao da barra,2.0,BR,1701886276.0,78.0,-21.6403,-41.0511,30.05,7.26
393,burang,1.0,CN,1701886276.0,61.0,30.25,81.1667,-13.23,1.75
394,correntina,83.0,BR,1701886006.0,15.0,-13.3433,-44.6367,36.95,4.29
395,chuhar jamali,0.0,PK,1701886149.0,27.0,24.3895,67.9923,20.88,4.17
396,lubang,79.0,PH,1701886276.0,79.0,13.8584,120.124,27.83,4.17
397,tindouf,99.0,DZ,1701886277.0,32.0,27.6711,-8.1474,22.05,4.15
398,bargara,,,,,,,,
399,kaura namoda,41.0,NG,1701886277.0,15.0,12.5898,6.5779,26.41,3.6
400,novyy urgal,100.0,RU,1701886282.0,96.0,51.0736,132.5642,-12.19,1.91
401,malabrigo,97.0,AR,1701886282.0,82.0,-29.3464,-59.9696,25.3,4.01
402,nemuro,76.0,JP,1701886282.0,92.0,43.3236,145.575,7.81,4.13
403,manggar,100.0,ID,1701886283.0,83.0,-2.8833,108.2667,26.63,2.26
404,illizi,100.0,DZ,1701886283.0,15.0,26.4833,8.4667,19.66,1.82
405,westport,75.0,US,1701886283.0,63.0,41.1415,-73.3579,5.5,4.12
406,akureyri,0.0,IS,1701886283.0,78.0,65.6835,-18.0878,-13.04,2.06
407,yung shue wan,100.0,HK,1701886284.0,53.0,22.2333,114.1167,20.34,3.97
408,ponta pora,75.0,BR,1701886305.0,61.0,-22.5361,-55.7256,28.95,5.14
409,isle of lewis,,,,,,,,
410,polovinnoye,100.0,RU,1701886522.0,95.0,54.7914,65.9864,-22.41,4.22
411,upington,0.0,ZA,1701886522.0,8.0,-28.4478,21.2561,34.21,6.17
412,inirida,24.0,CO,1701886352.0,40.0,3.8653,-67.9239,35.18,1.69
413,costa teguise,,,,,,,,
414,shache,2.0,CN,1701886523.0,35.0,38.4167,77.2406,5.4,1.05
415,es castell,75.0,ES,1701886523.0,82.0,39.8795,4.2854,11.38,3.09
416,ras gharib,,,,,,,,
417,promyshlennaya,100.0,RU,1701886308.0,94.0,54.9159,85.6385,-17.99,5.09
418,fonte boa,90.0,BR,1701886308.0,84.0,-2.4959,-66.2662,28.59,1.37
419,ammon,0.0,US,1701886308.0,89.0,43.4696,-111.9666,2.28,0.54
420,polyarnyy,84.0,RU,1701886264.0,97.0,69.1989,33.4478,-15.56,4.23
421,pangody,7.0,RU,1701886308.0,98.0,65.85,74.4859,-37.32,3.27
422,olinda,40.0,BR,1701886308.0,61.0,-8.0089,-34.8553,28.85,6.17
423,sangkhla buri,66.0,TH,1701886309.0,95.0,15.1555,98.4536,22.41,0.69
424,awjilah,48.0,LY,1701886309.0,35.0,29.1081,21.2869,16.1,0.98
425,salekhard,88.0,RU,1701886309.0,100.0,66.53,66.6019,-36.01,0.22
426,kerikeri,46.0,NZ,1701886310.0,91.0,-35.2268,173.9474,15.51,2.09
427,picos,14.0,BR,1701886263.0,20.0,-7.0769,-41.4669,39.54,4.63
428,inongo,37.0,CD,1701886310.0,83.0,-1.95,18.2667,23.48,0.31
429,feijo,100.0,BR,1701886050.0,98.0,-8.1642,-70.3536,24.1,0.79
430,whyalla stuart,,,,,,,,
